year,tmID,principal component 1,principal component 2,playoff
9,ATL,1.8630112531826588,1.406214299112294,0
10,ATL,3.7716574678275077,-0.3638411567416135,1
1,CHA,-0.6163685370891601,0.7134964705043444,0
2,CHA,-2.3801804717662347,-0.2379818126326474,1
3,CHA,-1.4694065423030194,-0.16562326330699242,1
4,CHA,-1.2659930271593849,-0.01132938024463945,1
5,CHA,-1.9180716152953083,0.2817246477607393,0
6,CHA,-1.3314856605230054,0.7170257755730756,0
7,CHA,0.7307519288148127,0.5896549776569059,0
7,CHI,0.6393985565062332,1.1985839461116596,0
8,CHI,1.404935804827871,0.3070358472978525,0
9,CHI,0.860137662450866,0.16106935163984962,0
10,CHI,1.7509713648463987,0.5085017321126067,0
1,CLE,-1.3698398505718423,-0.35044431204261844,1
2,CLE,-2.9163864378495985,-1.0472648243300358,1
3,CLE,-1.9350469975984397,0.12621197790298933,0
4,CLE,-1.012555846983259,-0.12838611923416282,1
4,CON,0.169328950739754,0.10852281930923251,1
5,CON,-0.11949516345073753,-0.26682632178271976,1
6,CON,0.3461896754650225,-0.872822055381843,1
7,CON,1.7124110614535657,-0.8888995472232385,1
8,CON,2.239730719617051,-0.3639039000858955,1
9,CON,1.9102863852350072,-0.36659425332283,1
10,CON,2.0908152537792892,0.07465000796524977,0
1,DET,0.10733359187214965,0.2123291404041603,0
2,DET,-1.4556152366600632,0.4634217142882939,0
3,DET,-1.4897418355111949,0.48341851752663206,0
4,DET,0.8042978174223325,-0.3616930934885721,1
5,DET,0.1260283341502459,-0.023056439962275077,1
6,DET,-0.6776321823067905,0.03196476203518314,1
7,DET,0.829045915917042,-0.46214052791631793,1
8,DET,1.9721027495019081,-0.4175803680323712,1
9,DET,1.8816812912208551,-0.4609255039548395,1
10,DET,2.163667456953973,-0.03931372347705393,1
1,HOU,-0.24335833664221465,-1.3629371262026808,1
2,HOU,-2.4286892594418066,-0.28640400948451855,1
3,HOU,-2.556640691406853,-0.7212513111893425,1
4,HOU,-1.0503305405802195,-0.45863725334878314,1
5,HOU,-1.2515247226088062,0.03401461461518055,0
6,HOU,-0.3882473629378748,-0.29035409953920477,1
7,HOU,0.9955278494315568,-0.257985124589337,1
8,HOU,1.3414897991047352,0.44097307450813017,0
